Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Credit_History_0.0,Credit_History_1.0
1,1,0,0,-0.5545328022687542,-0.6040028475801241,-1.0525071276230193,360.0,2,N,1,0,0,0,1,0
1,1,0,0,-0.23909159810773914,0.05191840859510644,-0.356925498765872,360.0,1,Y,0,0,1,0,0,1
1,0,0,0,-0.42221686092604654,0.4622034575946391,-0.00913468433729827,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,0.15626843462427134,-0.6040028475801241,-0.20787229258219753,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.3729953307465593,-0.6040028475801241,0.313813929060663,360.0,0,N,1,0,0,0,0,1
1,1,0,0,0.15626843462427134,0.04351405936047915,0.8106579496729113,360.0,1,Y,0,0,1,0,0,1
1,0,0,1,0.18273162289281286,-0.6040028475801241,0.6864469445198492,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.5068990633853794,0.18065775823462463,-0.5059787049495464,360.0,1,Y,0,1,0,0,0,1
0,0,0,0,0.5237539090467515,-0.6040028475801241,1.6801349857443455,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.38975534998330225,0.07560339280178338,-0.05881908639852309,360.0,1,Y,0,1,0,0,0,1
1,1,0,0,0.023952493281563684,-0.12266284596056062,0.313813929060663,360.0,0,Y,0,1,0,0,0,1
0,0,0,0,-0.27384658536709033,-0.6040028475801241,-0.4066099008270968,360.0,0,Y,0,1,0,0,0,1
1,1,0,0,-0.3615279491635246,-0.6040028475801241,-0.6053475090719961,360.0,1,Y,0,1,0,0,0,1
1,1,0,0,0.08023087366599534,1.3060765239260803,-0.30724109670464717,360.0,0,Y,0,0,1,0,0,1
1,1,1,0,-0.5035470595380308,0.15353463115923652,-0.05881908639852309,180.0,2,N,0,1,0,0,0,1
1,0,0,0,-0.4232753884567882,1.57386965181125,0.12749742133106998,60.0,2,Y,1,0,0,0,0,1
1,1,0,1,0.15626843462427134,-0.10738221098851099,-0.4562943028883216,360.0,0,Y,0,0,1,0,0,1
1,1,1,0,-0.3454736149472761,1.0833612692084569,-0.26997779515872855,360.0,1,Y,1,0,0,0,0,1
1,0,0,1,0.1209841835995493,1.0512719357671527,-0.30724109670464717,180.0,2,N,1,0,0,0,0,1
1,1,0,0,0.7654510285660974,-0.6040028475801241,-0.4066099008270968,360.0,2,Y,0,0,1,0,0,1
1,1,1,0,0.21942724395852378,-0.6040028475801241,-0.0960823879444417,180.0,2,Y,0,1,0,0,0,1
1,1,0,0,-0.4379183526320478,0.1000524087570628,-0.26997779515872855,480.0,1,Y,0,1,0,0,0,1
1,1,0,0,-0.6272183593796816,0.10960280561459382,-0.6798741121638333,360.0,2,Y,1,0,0,0,0,1
1,1,1,0,-0.6520937563521106,0.8820389034517029,0.6988680450351554,360.0,1,N,1,0,0,0,1,0
0,0,0,0,-0.34176876858968025,-0.6040028475801241,-0.08366128742913549,360.0,2,N,0,0,1,0,0,1
1,0,1,1,-0.4906683079140073,0.22382555203066484,-0.5059787049495464,360.0,0,Y,1,0,0,0,0,1
1,1,1,0,-0.4769074500143657,2.1086918758329873,1.6677138852290394,180.0,1,Y,0,1,0,0,0,1
1,0,0,1,1.9204809858603733,-0.6040028475801241,0.5870781403973996,360.0,2,N,1,0,0,0,1,0
0,0,0,0,-0.4024576803522022,-0.6040028475801241,1.3696074728616905,360.0,0,Y,0,0,0,1,0,1
1,0,1,0,0.12010207732393124,-0.6040028475801241,-0.3693465992811782,360.0,0,N,1,0,0,0,1,0
1,1,0,0,-0.020152820499338867,-0.6040028475801241,-0.6301897101026085,360.0,2,N,0,0,0,1,0,1
1,1,0,0,1.6440288790816762,0.1982304884524817,1.9782413981116944,360.0,0,N,1,0,0,0,0,1
1,0,0,0,-0.5829366243436555,0.23987021875131695,-0.13334568949036033,360.0,1,Y,1,0,0,0,0,1
0,0,0,0,-0.3322420208130053,-0.6040028475801241,0.12749742133106998,36.0,1,N,0,1,0,0,0,1
0,0,0,0,0.32386862699170105,-0.6040028475801241,-0.30724109670464717,360.0,0,Y,1,0,0,0,0,1
1,0,0,1,-0.034972205929722125,-0.6040028475801241,-0.20787229258219753,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,-0.22391937016710867,0.7128058711362532,0.07781301926984516,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.1157731407763356,-0.07414682992430303,0.06539191875453895,360.0,1,Y,0,0,1,0,0,1
1,1,0,0,-0.18193111144768942,0.08782790077942308,0.189602923907601,360.0,2,Y,0,0,0,1,1,0
0,0,0,0,-0.4389768801627895,-0.008058083670188369,-0.6798741121638333,360.0,2,Y,0,1,0,0,0,1
0,0,0,0,-0.3752888070631662,-0.6040028475801241,-1.4251401430822055,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,1.020026899709467,-0.6040028475801241,-0.1085034884597479,360.0,2,Y,1,0,0,0,0,1
1,0,0,0,-0.44656299413310474,0.10540063099728017,-0.23271449361280994,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.4841407214744337,0.2452184409915343,0.06539191875453895,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.25832151491621264,-0.6040028475801241,-0.6798741121638333,360.0,1,Y,0,0,1,0,0,1
1,1,0,0,-0.46120595830836436,0.09967039288276155,-0.3693465992811782,360.0,1,Y,0,1,0,0,0,1
1,1,0,0,-0.2419143381897169,0.6467171248821385,0.7733946481269927,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.39892925524973,-0.10738221098851099,-0.8040851173168954,360.0,2,Y,1,0,0,0,0,1
1,1,0,0,1.626386753569315,-0.6040028475801241,3.617826666132114,360.0,1,Y,1,0,0,0,0,1
1,0,1,1,-0.2313290628823003,0.3227676634746862,0.1647607228769886,360.0,2,N,0,1,0,0,1,0
1,1,0,0,-0.25355814102787516,-0.2983901481391314,-0.4066099008270968,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,-0.5404191018588653,-0.22741160335455451,-0.8289273183475078,180.0,2,Y,0,0,1,0,0,1
0,0,0,0,-0.6268655168694344,0.03243559900574316,-1.1270337307148566,360.0,2,Y,1,0,0,0,0,1
1,0,0,0,-0.3892260862179314,0.5622916166615642,-0.6922952126791395,360.0,0,Y,1,0,0,0,0,1
0,0,0,1,-0.4876691465769059,0.05191840859510644,-0.5680842075260775,300.0,1,N,1,0,0,0,0,1
1,1,0,0,-0.29290008092044023,0.16002890102235762,-0.30724109670464717,360.0,0,Y,1,0,0,0,0,1
0,0,0,0,-0.21880315376852397,-0.6040028475801241,-0.3693465992811782,360.0,1,Y,1,0,0,0,0,1
1,0,0,0,0.7310488838169934,-0.6040028475801241,0.5249726378208686,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.40386905039319104,0.3189475047316738,-0.07124018691382929,360.0,0,Y,1,0,0,0,0,1
1,1,0,0,-0.17011088735440755,-0.6040028475801241,-0.22029339309750373,360.0,1,N,0,0,1,0,1,0
1,1,0,0,-0.3901081924935495,-0.008058083670188369,-0.13334568949036033,360.0,2,Y,0,0,1,0,0,1
1,1,0,0,-0.5259525589387294,0.6696380773402129,0.33865613009127543,360.0,1,Y,1,0,0,0,0,1
1,1,0,0,0.26653171907652773,-0.6040028475801241,0.6864469445198492,360.0,1,Y,0,1,0,0,0,1
0,1,0,0,-0.12318283349152723,-0.6040028475801241,-0.1209245889750541,360.0,2,Y,0,1,0,0,0,1
0,0,0,0,-0.06425813428024142,0.3666994890193289,0.07781301926984516,480.0,0,N,1,0,0,0,0,1
1,1,0,0,-0.5910520020793415,0.5133935847510054,-0.3941888003117906,360.0,2,N,0,1,0,0,0,1
1,1,1,0,-0.628806150675794,0.5168317276197165,-0.6426108106179147,360.0,2,N,1,0,0,0,1,0
